"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"387","clippty01",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,32,0,0,0,2,97,24,11,5,10,26,0.2,3.06,1,5,2,0,134,6,13,1,1,2,"P"
"388","clippty01",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,32,0,0,0,2,97,24,11,5,10,26,0.2,3.06,1,5,2,0,134,6,13,1,1,2,"P"
"389","clippty01",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,37,0,0,0,17,116,25,12,3,21,38,0.175,2.79,1,1,2,0,167,30,12,0,1,0,"P"
"390","clippty01",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,37,0,0,0,17,116,25,12,3,21,38,0.175,2.79,1,1,2,0,167,30,12,0,1,0,"P"
"391","clippty01",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,32,0,0,0,2,97,24,11,5,10,26,0.2,3.06,1,5,2,0,134,6,13,1,1,2,"P"
"392","clippty01",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,32,0,0,0,2,97,24,11,5,10,26,0.2,3.06,1,5,2,0,134,6,13,1,1,2,"P"
"393","cookry01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,13,13,4,4,3,0.481,27,0,1,0,0,31,1,14,0,0,0,"P"
"394","cookry01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,13,13,4,4,3,0.481,27,0,1,0,0,31,1,14,0,0,0,"P"
"395","cookry01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,13,7,5,0,3,3,0.35,10.38,0,0,0,0,23,0,5,0,0,0,"P"
"396","cookry01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,13,7,5,0,3,3,0.35,10.38,0,0,0,0,23,0,5,0,0,0,"P"
"397","cookry01",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,13,13,4,4,3,0.481,27,0,1,0,0,31,1,14,0,0,0,"P"
"398","cookry01",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,13,13,4,4,3,0.481,27,0,1,0,0,31,1,14,0,0,0,"P"
"399","cookry01",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,13,7,5,0,3,3,0.35,10.38,0,0,0,0,23,0,5,0,0,0,"P"
"400","cookry01",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,13,7,5,0,3,3,0.35,10.38,0,0,0,0,23,0,5,0,0,0,"P"
"402","kazmisc01",13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0,3,6,0,323,0,42,2,2,4,"P"
"403","kazmisc01",13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0,3,6,0,323,0,42,2,2,4,"P"
"404","kazmisc01",13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,18,18,0,0,0,329,84,29,7,35,101,0.213,2.38,0,2,3,2,440,0,35,3,4,13,"P"
"405","kazmisc01",13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,18,18,0,0,0,329,84,29,7,35,101,0.213,2.38,0,2,3,2,440,0,35,3,4,13,"P"
"406","kazmisc01",18,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0,3,6,0,323,0,42,2,2,4,"P"
"407","kazmisc01",18,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0,3,6,0,323,0,42,2,2,4,"P"
"408","kazmisc01",18,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,18,18,0,0,0,329,84,29,7,35,101,0.213,2.38,0,2,3,2,440,0,35,3,4,13,"P"
"409","kazmisc01",18,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,18,18,0,0,0,329,84,29,7,35,101,0.213,2.38,0,2,3,2,440,0,35,3,4,13,"P"
"412","oflaher01",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,26,18,13,1,5,6,0.409,13.5,1,1,2,0,51,3,13,0,0,0,"P"
"413","oflaher01",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,26,18,13,1,5,6,0.409,13.5,1,1,2,0,51,3,13,0,0,0,"P"
"414","oflaher01",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,0,0,0,0,64,29,14,1,13,15,0.312,5.91,1,0,0,0,108,5,17,2,0,2,"P"
"415","oflaher01",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,0,0,0,0,64,29,14,1,13,15,0.312,5.91,1,0,0,0,108,5,17,2,0,2,"P"
